R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Napoli,55,3,12,3,1
2,Atalanta,55,5,13,2,2
3,Juventus,41,3,15,7,4
4,AC Milan,40,2,6,3,4
5,Sampdoria,39,2,9,10,0
6,Roma,39,4,16,6,1
7,Torino,34,1,10,5,2
8,Inter,34,2,13,8,0
9,Lazio,34,4,10,6,2
10,Sassuolo,34,2,9,5,3
11,Empoli,32,3,9,4,3
12,Fiorentina,27,6,7,5,2
13,Bologna,25,2,13,5,3
14,Genoa,24,2,7,4,2
15,Parma Calcio 1913,24,1,11,4,1
16,SPAL 2013,23,1,13,7,0
17,Cagliari,21,2,10,2,1
18,Udinese,19,7,8,3,2
19,Chievo,17,0,4,4,0
20,Frosinone,16,1,7,4,1
