R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,61,3,16,8,2
2,Sevilla,41,7,7,5,2
3,Real Madrid,39,2,11,9,2
4,Getafe,35,1,5,6,1
5,Celta Vigo,32,4,9,7,1
6,Atletico Madrid,32,4,14,3,2
7,Levante,32,3,16,5,3
8,Real Betis,29,2,7,5,1
9,Valencia,29,4,12,5,1
10,Rayo Vallecano,29,2,4,5,1
11,Real Sociedad,28,2,6,8,1
12,Eibar,28,1,10,7,0
13,Villarreal,27,5,12,3,2
14,Espanyol,26,3,10,4,5
15,Athletic Bilbao,25,4,5,5,2
16,SD Huesca,22,0,15,6,0
17,Leganes,20,3,10,3,1
18,Girona,20,3,8,6,0
19,Real Valladolid,19,0,8,4,1
20,Deportivo Alaves,17,3,17,2,0
