R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Manchester City,72,5,11,3,4
2,Liverpool,53,6,20,7,3
3,Arsenal,49,3,13,4,4
4,Chelsea,45,1,10,5,2
5,Tottenham,41,5,16,4,1
6,Manchester United,40,4,12,9,0
7,Watford,35,3,12,1,1
8,Everton,33,2,16,2,1
9,West Ham,32,3,11,5,1
10,Southampton,31,1,8,4,1
11,Newcastle United,29,1,10,1,1
12,Crystal Palace,28,2,8,10,3
13,Wolverhampton Wanderers,26,5,11,4,1
14,Burnley,26,1,14,2,2
15,Bournemouth,26,9,13,7,1
16,Leicester,24,8,11,5,3
17,Fulham,24,2,5,2,1
18,Cardiff,19,0,11,3,1
19,Brighton,12,4,14,5,0
20,Huddersfield,10,1,9,1,1
