R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Rayo Vallecano,11%,44%,45%
2,Valencia,9%,55%,36%
3,Sevilla,9%,56%,35%
4,Deportivo Alaves,9%,52%,39%
5,SD Huesca,9%,53%,38%
6,Girona,9%,53%,38%
7,Athletic Bilbao,8%,61%,31%
8,Getafe,8%,60%,32%
9,Atletico Madrid,8%,50%,42%
10,Espanyol,7%,49%,43%
11,Eibar,7%,59%,34%
12,Real Betis,6%,52%,41%
13,Real Valladolid,6%,51%,43%
14,Barcelona,6%,56%,39%
15,Real Sociedad,6%,55%,39%
16,Villarreal,6%,59%,34%
17,Levante,6%,55%,39%
18,Real Madrid,5%,60%,35%
19,Celta Vigo,5%,58%,37%
20,Leganes,5%,63%,32%
